t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,0,0.0,0.0,0.0,0.0,events/second
1758264690,0,0.0,0.0,0.0,0.0,events/second
1758264720,0,0.0,0.0,0.0,0.0,events/second
1758264750,0,0.0,0.0,0.0,0.0,events/second
1758264780,0,0.0,0.0,0.0,0.0,events/second
1758264810,0,0.0,0.0,0.0,0.0,events/second
1758264840,0,0.0,0.0,0.0,0.0,events/second
1758264870,0,0.0,0.0,0.0,0.0,events/second
1758264900,0,0.0,0.0,0.0,0.0,events/second
1758264930,0,0.0,0.0,0.0,0.0,events/second
1758265140,0,0.0,0.0,0.0,0.0,events/second
1758265170,0,0.0,0.0,0.0,0.0,events/second
1758265200,0,0.0,0.0,0.0,0.0,events/second
1758265230,0,0.0,0.0,0.0,0.0,events/second
1758265260,0,0.0,0.0,0.0,0.0,events/second
1758265290,0,0.0,0.0,0.0,0.0,events/second
1758265320,0,0.0,0.0,0.0,0.0,events/second
1758265350,0,0.0,0.0,0.0,0.0,events/second
1758265380,0,0.0,0.0,0.0,0.0,events/second
1758265410,0,0.0,0.0,0.0,0.0,events/second
1758265440,0,0.0,0.0,0.0,0.0,events/second
1758266130,0,0.0,0.0,0.0,0.0,events/second
1758266160,0,0.0,0.0,0.0,0.0,events/second
1758266190,0,0.0,0.0,0.0,0.0,events/second
1758266220,0,0.0,0.0,0.0,0.0,events/second
1758266400,0,0.0,0.0,0.0,0.0,events/second
1758266430,0,0.0,0.0,0.0,0.0,events/second
1758266460,0,0.0,0.0,0.0,0.0,events/second
1758266490,0,0.0,0.0,0.0,0.0,events/second
1758266520,0,0.0,0.0,0.0,0.0,events/second
1758266550,0,0.0,0.0,0.0,0.0,events/second
1758266580,0,0.0,0.0,0.0,0.0,events/second
1758266610,0,0.0,0.0,0.0,0.0,events/second
1758266640,0,0.0,0.0,0.0,0.0,events/second
1758266670,0,0.0,0.0,0.0,0.0,events/second
1758266700,0,0.0,0.0,0.0,0.0,events/second
1758266730,0,0.0,0.0,0.0,0.0,events/second
1758266760,0,0.0,0.0,0.0,0.0,events/second
1758266790,0,0.0,0.0,0.0,0.0,events/second
1758266820,0,0.0,0.0,0.0,0.0,events/second
1758266850,0,0.0,0.0,0.0,0.0,events/second
1758266880,1,0.002008867567322084,0.0,0.0,0.0,events/second
1758266910,1,0.001894611431991029,0.0,0.0,0.0,events/second
1758266940,1,0.0017926613677458614,0.0,0.0,0.0,events/second
1758266970,1,0.0017011385805406375,0.0,0.0,0.0,events/second
1758267000,1,0.0016185189553417983,0.0,0.0,0.0,events/second
1758267030,1,0.0015435487226473372,0.0,0.0,0.0,events/second
1758267060,1,0.0014752092401602503,0.0,0.0,0.0,events/second
1758267090,1,0.0014126429070884616,0.0,0.0,0.0,events/second
1758267120,1,0.001355162724538504,0.0,0.0,0.0,events/second
1758267150,1,0.001302203780739856,0.0,0.0,0.0,events/second
1758267180,1,0.001253223771996238,0.0,0.0,0.0,events/second
1758267210,1,0.0012077935348984898,0.0,0.0,0.0,events/second
1758267240,1,0.0011655402931506757,0.0,0.0,0.0,events/second
1758267270,1,0.001126135694601835,0.0,0.0,0.0,events/second
1758267300,1,0.0010893116088196645,0.0,0.0,0.0,events/second
1758267330,1,0.0010548240660775581,0.0,0.0,0.0,events/second
1758267360,1,0.0010224429730358786,0.0,0.0,0.0,events/second
1758267390,1,9.919924198415002E-4,0.0,0.0,0.0,events/second
1758267420,1,9.63304729944932E-4,0.0,0.0,0.0,events/second
1758267450,1,9.36231029449191E-4,0.0,0.0,0.0,events/second
1758267480,1,9.106378748008339E-4,0.0,0.0,0.0,events/second
1758267510,1,8.864141621380882E-4,0.0,0.0,0.0,events/second
1758267540,1,8.634399919578094E-4,0.0,0.0,0.0,events/second
1758267570,1,8.416267309957482E-4,0.0,0.0,0.0,events/second
1758267600,1,8.208913607812893E-4,0.0,0.0,0.0,events/second
1758267630,1,8.011540750713285E-4,0.0,0.0,0.0,events/second
1758267660,1,7.823373360700359E-4,0.0,0.0,0.0,events/second
1758267690,1,7.643884504805349E-4,0.0,0.0,0.0,events/second
1758267720,1,7.472373620170307E-4,0.0,0.0,0.0,events/second
1758267750,1,7.308478609337429E-4,0.0,0.0,0.0,events/second
1758267780,1,7.151619086399205E-4,0.0,0.0,0.0,events/second
1758267810,1,7.001314979558067E-4,0.0,0.0,0.0,events/second
1758267840,1,6.857210116891562E-4,0.0,0.0,0.0,events/second
1758267870,1,6.718937451321003E-4,0.0,0.0,0.0,events/second
1758267900,1,6.586089204398082E-4,0.0,0.0,0.0,events/second
1758267930,1,6.458386304614155E-4,0.0,0.0,0.0,events/second
1758267960,1,6.335578216355214E-4,0.0,0.0,0.0,events/second
1758267990,1,6.217315899059224E-4,0.0,0.0,0.0,events/second
1758268020,1,6.103408478591294E-4,0.0,0.0,0.0,events/second
1758268050,1,5.993602785365883E-4,0.0,0.0,0.0,events/second
1758268080,1,5.887687387169621E-4,0.0,0.0,0.0,events/second
1758268110,1,5.785435311150849E-4,0.0,0.0,0.0,events/second
1758268140,1,5.686699555215482E-4,0.0,0.0,0.0,events/second
1758268170,1,5.591225529911589E-4,0.0,0.0,0.0,events/second
1758268200,1,5.498911126322166E-4,0.0,0.0,0.0,events/second
1758268231,1,5.409612541492083E-4,0.0,0.0,0.0,events/second
1758268261,1,5.323162413753205E-4,0.0,0.0,0.0,events/second
1758268291,1,5.239440654128732E-4,0.0,0.0,0.0,events/second
1758268321,1,5.158325582739374E-4,0.0,0.0,0.0,events/second
1758268351,1,5.079654514273593E-4,0.0,0.0,0.0,events/second
1758268381,1,5.003339275663967E-4,0.0,0.0,0.0,events/second
1758268411,1,4.929311334775827E-4,0.0,0.0,0.0,events/second
1758268441,1,4.857456198915714E-4,0.0,0.0,0.0,events/second
1758268471,1,4.787641878947162E-4,0.0,0.0,0.0,events/second
1758268501,1,4.7198072633891896E-4,0.0,0.0,0.0,events/second
1758268531,1,4.6538599187627395E-4,0.0,0.0,0.0,events/second
1758268561,1,4.589752505670884E-4,0.0,0.0,0.0,events/second
1758268591,1,4.527386146781672E-4,0.0,0.0,0.0,events/second
1758268621,1,4.466677747440022E-4,0.0,0.0,0.0,events/second
1758268651,1,4.407585591508661E-4,0.0,0.0,0.0,events/second
1758268681,1,4.3500462609212076E-4,0.0,0.0,0.0,events/second
1758268711,1,4.2939781503335036E-4,0.0,0.0,0.0,events/second
1758268741,1,4.239329073635346E-4,0.0,0.0,0.0,events/second
1758268771,1,4.18606513214299E-4,0.0,0.0,0.0,events/second
1758268801,1,4.1341139113127556E-4,0.0,0.0,0.0,events/second
1758268831,1,4.0834363468966576E-4,0.0,0.0,0.0,events/second
1758268861,1,4.034000175469649E-4,0.0,0.0,0.0,events/second
1758268891,1,3.9857493195187083E-4,0.0,0.0,0.0,events/second
1758268921,1,3.9386181791437367E-4,0.0,0.0,0.0,events/second
1758268951,1,3.892603585114379E-4,0.0,0.0,0.0,events/second
1758268981,1,3.8476432305214147E-4,0.0,0.0,0.0,events/second
1758269011,1,3.8037218750323784E-4,0.0,0.0,0.0,events/second
1758269041,1,3.760789847100952E-4,0.0,0.0,0.0,events/second
1758269071,1,3.718804327938051E-4,0.0,0.0,0.0,events/second
1758269101,1,3.6777573203213346E-4,0.0,0.0,0.0,events/second
1758269131,1,3.637593353103743E-4,0.0,0.0,0.0,events/second
1758269161,1,3.598303734388303E-4,0.0,0.0,0.0,events/second
1758269191,1,3.559859522166315E-4,0.0,0.0,0.0,events/second
1758269221,1,3.5222290609993864E-4,0.0,0.0,0.0,events/second
1758269251,1,3.4853854034530443E-4,0.0,0.0,0.0,events/second
1758269281,1,3.4493104603805096E-4,0.0,0.0,0.0,events/second
1758269311,1,3.4139730651133943E-4,0.0,0.0,0.0,events/second
1758269341,1,3.379353359155216E-4,0.0,0.0,0.0,events/second
1758269371,1,3.345424153543722E-4,0.0,0.0,0.0,events/second
1758269401,1,3.3121588780536E-4,0.0,0.0,0.0,events/second
1758269431,1,3.2795499675295755E-4,0.0,0.0,0.0,events/second
1758269461,1,3.247583186460512E-4,0.0,0.0,0.0,events/second
1758269491,1,3.2162378338469196E-4,0.0,0.0,0.0,events/second
