t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.14408817250939163,0.0,0.0,0.0,events/second
1758264690,2,0.04552116277947194,0.0,0.0,0.0,events/second
1758264720,2,0.027044511669287598,0.0,0.0,0.0,events/second
1758264750,2,0.019235103972421168,0.0,0.0,0.0,events/second
1758264780,2,0.014925127805324597,0.0,0.0,0.0,events/second
1758264810,6,0.03658163031155692,0.0,0.0,0.0,events/second
1758264840,18,0.09276872293682849,0.0,0.0,0.0,events/second
1758264870,18,0.08033934589873731,0.0,0.0,0.0,events/second
1758264900,31,0.12201421210915603,0.0,0.0,0.0,events/second
1758264930,34,0.1196832503366484,0.0,0.0,0.0,events/second
1758265140,1,0.08850993732929974,0.0,0.0,0.0,events/second
1758265170,1,0.024183724275690866,0.0,0.0,0.0,events/second
1758265200,1,0.014013461908864286,0.0,0.0,0.0,events/second
1758265230,1,0.00986454814341771,0.0,0.0,0.0,events/second
1758265260,2,0.015222002166278139,0.0,0.0,0.0,events/second
1758265290,2,0.012391109677432186,0.0,0.0,0.0,events/second
1758265320,2,0.010447935836735239,0.0,0.0,0.0,events/second
1758265350,2,0.009031651966667888,0.0,0.0,0.0,events/second
1758265380,2,0.007953905681690021,0.0,0.0,0.0,events/second
1758265410,2,0.007105903876958097,0.0,0.0,0.0,events/second
1758265440,2,0.0064212717603166465,0.0,0.0,0.0,events/second
1758266130,1,0.03393460625593222,0.0,0.0,0.0,events/second
1758266160,1,0.016808262156394076,0.0,0.0,0.0,events/second
1758266190,19,0.21226054464833582,0.0,0.0,0.0,events/second
1758266220,29,0.24263867598948718,0.0,0.0,0.0,events/second
1758266400,2,0.1142656675170051,0.0,0.0,0.0,events/second
1758266430,2,0.04205774286684173,0.0,0.0,0.0,events/second
1758266460,2,0.025784058706867237,0.0,0.0,0.0,events/second
1758266490,2,0.018589311366805108,0.0,0.0,0.0,events/second
1758266520,2,0.014534563411263893,0.0,0.0,0.0,events/second
1758266550,2,0.011931260417425824,0.0,0.0,0.0,events/second
1758266580,2,0.010119234494805982,0.0,0.0,0.0,events/second
1758266610,2,0.008784984442447035,0.0,0.0,0.0,events/second
1758266640,2,0.0077616818374210165,0.0,0.0,0.0,events/second
