t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,9,0.6480425618801621,0.0,0.0,0.0,events/second
1758264690,9,0.20487344622356468,0.0,0.0,0.0,events/second
1758264720,9,0.12170966293786802,0.0,0.0,0.0,events/second
1758264750,9,0.08656161069336281,0.0,0.0,0.0,events/second
1758264780,9,0.06716604591956285,0.0,0.0,0.0,events/second
1758264810,18,0.10974906920381573,0.0,0.0,0.0,events/second
1758264840,28,0.1443113981200478,0.0,0.0,0.0,events/second
1758264870,28,0.12497553893947047,0.0,0.0,0.0,events/second
1758264900,38,0.14956930065511712,0.0,0.0,0.0,events/second
1758264930,41,0.1443254505002861,0.0,0.0,0.0,events/second
1758265140,7,0.6192686465593558,0.0,0.0,0.0,events/second
1758265170,7,0.16930952424437287,0.0,0.0,0.0,events/second
1758265200,7,0.0981019793816351,0.0,0.0,0.0,events/second
1758265230,7,0.06905580965150415,0.0,0.0,0.0,events/second
1758265260,8,0.060890718487529964,0.0,0.0,0.0,events/second
1758265290,8,0.049565892281032406,0.0,0.0,0.0,events/second
1758265320,8,0.04179287173591298,0.0,0.0,0.0,events/second
1758265350,8,0.03612753073262463,0.0,0.0,0.0,events/second
1758265380,8,0.031816329623321815,0.0,0.0,0.0,events/second
1758265410,8,0.02842420809604637,0.0,0.0,0.0,events/second
1758265440,8,0.025685507745711923,0.0,0.0,0.0,events/second
1758266130,7,0.23759941498950898,0.0,0.0,0.0,events/second
1758266160,7,0.11769215647987305,0.0,0.0,0.0,events/second
1758266190,21,0.23464931290334584,0.0,0.0,0.0,events/second
1758266220,28,0.23430602198074332,0.0,0.0,0.0,events/second
1758266400,8,0.4569743171808354,0.0,0.0,0.0,events/second
1758266430,8,0.1682539983727693,0.0,0.0,0.0,events/second
1758266460,8,0.10314437270501192,0.0,0.0,0.0,events/second
1758266490,8,0.07436191700541733,0.0,0.0,0.0,events/second
1758266520,8,0.058140892870752886,0.0,0.0,0.0,events/second
1758266550,8,0.04772690704832091,0.0,0.0,0.0,events/second
1758266580,8,0.04047834210126016,0.0,0.0,0.0,events/second
1758266610,8,0.03514095142797663,0.0,0.0,0.0,events/second
1758266640,8,0.03104755491542,0.0,0.0,0.0,events/second
1758266670,9,0.031283708913272375,0.0,0.0,0.0,events/second
1758266700,9,0.02832833388444376,0.0,0.0,0.0,events/second
1758266730,9,0.025883469477583534,0.0,0.0,0.0,events/second
1758266760,9,0.023826715112252216,0.0,0.0,0.0,events/second
1758266790,9,0.022072453702366185,0.0,0.0,0.0,events/second
1758266820,9,0.02055916255681507,0.0,0.0,0.0,events/second
1758266850,28,0.059857808677628986,0.0,0.0,0.0,events/second
1758266880,32,0.0642845595886619,0.0,0.0,0.0,events/second
1758266910,32,0.06062827364577903,0.0,0.0,0.0,events/second
1758266940,32,0.057365801925706617,0.0,0.0,0.0,events/second
1758266970,32,0.05443701855313893,0.0,0.0,0.0,events/second
1758267000,32,0.05179314224978928,0.0,0.0,0.0,events/second
1758267030,32,0.04939403758966032,0.0,0.0,0.0,events/second
1758267060,32,0.047207148194657,0.0,0.0,0.0,events/second
1758267090,32,0.045204966561071126,0.0,0.0,0.0,events/second
1758267120,32,0.04336558856821712,0.0,0.0,0.0,events/second
1758267150,32,0.04167085265031448,0.0,0.0,0.0,events/second
1758267180,32,0.04010348702822459,0.0,0.0,0.0,events/second
1758267210,32,0.03864969505316927,0.0,0.0,0.0,events/second
1758267240,32,0.037297561344815815,0.0,0.0,0.0,events/second
1758267270,32,0.036036619662889284,0.0,0.0,0.0,events/second
1758267300,32,0.03485822808204907,0.0,0.0,0.0,events/second
1758267330,32,0.0337546131696711,0.0,0.0,0.0,events/second
1758267360,32,0.03271839516220198,0.0,0.0,0.0,events/second
1758267390,32,0.031743945611396505,0.0,0.0,0.0,events/second
1758267420,32,0.03082594015761066,0.0,0.0,0.0,events/second
1758267450,32,0.029959563203050304,0.0,0.0,0.0,events/second
1758267480,32,0.029140584191756407,0.0,0.0,0.0,events/second
1758267510,32,0.028365375134249454,0.0,0.0,0.0,events/second
1758267540,32,0.027630241159485414,0.0,0.0,0.0,events/second
1758267570,32,0.026932198079756643,0.0,0.0,0.0,events/second
1758267600,32,0.026268662572761385,0.0,0.0,0.0,events/second
1758267630,32,0.025637059031291338,0.0,0.0,0.0,events/second
1758267660,32,0.025034920582911797,0.0,0.0,0.0,events/second
1758267690,32,0.024460545061968007,0.0,0.0,0.0,events/second
1758267720,32,0.023911710993942195,0.0,0.0,0.0,events/second
1758267750,32,0.02338723530142089,0.0,0.0,0.0,events/second
1758267780,32,0.022885287579396542,0.0,0.0,0.0,events/second
1758267810,32,0.022404306884764615,0.0,0.0,0.0,events/second
1758267840,32,0.02194315860624578,0.0,0.0,0.0,events/second
1758267870,32,0.02150069417057212,0.0,0.0,0.0,events/second
1758267900,32,0.02107557428966574,0.0,0.0,0.0,events/second
1758267930,32,0.020666926226339026,0.0,0.0,0.0,events/second
1758267960,32,0.0202739276277391,0.0,0.0,0.0,events/second
1758267990,32,0.01989549501663849,0.0,0.0,0.0,events/second
1758268020,32,0.019530986082543837,0.0,0.0,0.0,events/second
1758268050,32,0.019179598826451545,0.0,0.0,0.0,events/second
1758268080,32,0.01884067191296304,0.0,0.0,0.0,events/second
1758268110,32,0.018513456869770583,0.0,0.0,0.0,events/second
1758268140,32,0.018197501169853518,0.0,0.0,0.0,events/second
1758268170,32,0.0178919854220039,0.0,0.0,0.0,events/second
1758268200,32,0.017596568743968324,0.0,0.0,0.0,events/second
1758268231,32,0.01731082014693672,0.0,0.0,0.0,events/second
1758268261,32,0.01703417321450417,0.0,0.0,0.0,events/second
1758268291,32,0.01676626658951032,0.0,0.0,0.0,events/second
1758268321,32,0.01650669699824649,0.0,0.0,0.0,events/second
1758268351,32,0.01625494198505904,0.0,0.0,0.0,events/second
1758268381,32,0.01601072323712506,0.0,0.0,0.0,events/second
1758268411,32,0.015773848765483465,0.0,0.0,0.0,events/second
1758268441,32,0.015543904320369359,0.0,0.0,0.0,events/second
1758268471,32,0.015320501633058361,0.0,0.0,0.0,events/second
1758268501,32,0.015103429510553991,0.0,0.0,0.0,events/second
1758268531,32,0.014892393789360235,0.0,0.0,0.0,events/second
1758268561,32,0.014687250501135321,0.0,0.0,0.0,events/second
1758268591,32,0.014487677908538709,0.0,0.0,0.0,events/second
1758268621,32,0.014293407464699924,0.0,0.0,0.0,events/second
1758268651,32,0.014104316213562548,0.0,0.0,0.0,events/second
1758268681,32,0.013920187536385738,0.0,0.0,0.0,events/second
1758268711,32,0.01374076528789226,0.0,0.0,0.0,events/second
1758268741,32,0.013565890069942231,0.0,0.0,0.0,events/second
1758268771,32,0.013395444680432207,0.0,0.0,0.0,events/second
1758268801,32,0.013229197830677662,0.0,0.0,0.0,events/second
1758268831,32,0.013067031273154645,0.0,0.0,0.0,events/second
1758268861,32,0.012908834555046567,0.0,0.0,0.0,events/second
1758268891,32,0.012754430235474085,0.0,0.0,0.0,events/second
1758268921,32,0.01260360927968233,0.0,0.0,0.0,events/second
1758268951,32,0.012456363156647894,0.0,0.0,0.0,events/second
1758268981,32,0.012312485960526764,0.0,0.0,0.0,events/second
1758269011,32,0.012171939512724836,0.0,0.0,0.0,events/second
1758269041,32,0.012034556962398201,0.0,0.0,0.0,events/second
1758269071,32,0.011900203427362527,0.0,0.0,0.0,events/second
1758269101,32,0.011768851026150521,0.0,0.0,0.0,events/second
1758269131,32,0.011640324514136565,0.0,0.0,0.0,events/second
1758269161,32,0.011514598891866552,0.0,0.0,0.0,events/second
1758269191,32,0.011391577047362265,0.0,0.0,0.0,events/second
1758269221,32,0.01127115861811544,0.0,0.0,0.0,events/second
1758269251,32,0.011153258725530007,0.0,0.0,0.0,events/second
1758269281,32,0.011037818060290727,0.0,0.0,0.0,events/second
1758269311,32,0.010924736964054904,0.0,0.0,0.0,events/second
1758269341,32,0.010813953859830623,0.0,0.0,0.0,events/second
1758269371,32,0.01070537669502093,0.0,0.0,0.0,events/second
1758269401,32,0.010598930187018579,0.0,0.0,0.0,events/second
1758269431,32,0.01049458148826019,0.0,0.0,0.0,events/second
1758269461,32,0.01039228762240507,0.0,0.0,0.0,events/second
1758269491,32,0.010291982233713063,0.0,0.0,0.0,events/second
1758269521,32,0.01019356987582763,0.0,0.0,0.0,events/second
1758269551,32,0.01009704560824142,0.0,0.0,0.0,events/second
1758269581,32,0.010002326703106933,0.0,0.0,0.0,events/second
1758269611,32,0.009909335762437877,0.0,0.0,0.0,events/second
1758269641,32,0.009818064427568468,0.0,0.0,0.0,events/second
1758269671,32,0.009728476601602094,0.0,0.0,0.0,events/second
1758269701,32,0.00964051520974664,0.0,0.0,0.0,events/second
1758269731,32,0.00955412689794648,0.0,0.0,0.0,events/second
1758269761,32,0.009469239765590814,0.0,0.0,0.0,events/second
1758269791,32,0.009385865879810171,0.0,0.0,0.0,events/second
1758269821,32,0.009303938979076491,0.0,0.0,0.0,events/second
1758269851,32,0.009223440372319982,0.0,0.0,0.0,events/second
1758269881,32,0.009144307570340217,0.0,0.0,0.0,events/second
1758269911,32,0.009066554110671095,0.0,0.0,0.0,events/second
1758269941,32,0.008990105241622755,0.0,0.0,0.0,events/second
