t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,1,0.07199820787820806,0.0,0.0,0.0,events/second
1758264690,1,0.022760224981000218,0.0,0.0,0.0,events/second
1758264720,1,0.013522088600819,0.0,0.0,0.0,events/second
1758264750,1,0.00961738963767929,0.0,0.0,0.0,events/second
1758264780,1,0.007462531457890922,0.0,0.0,0.0,events/second
1758264810,1,0.006096917278697527,0.0,0.0,0.0,events/second
1758264840,1,0.005153800062222859,0.0,0.0,0.0,events/second
1758264870,1,0.00446327873882618,0.0,0.0,0.0,events/second
1758264900,1,0.0039359307337402455,0.0,0.0,0.0,events/second
1758264930,1,0.003520048399933329,0.0,0.0,0.0,events/second
1758265140,0,0.0,0.0,0.0,0.0,events/second
1758265170,0,0.0,0.0,0.0,0.0,events/second
1758265200,0,0.0,0.0,0.0,0.0,events/second
1758265230,0,0.0,0.0,0.0,0.0,events/second
1758265260,0,0.0,0.0,0.0,0.0,events/second
1758265290,0,0.0,0.0,0.0,0.0,events/second
1758265320,0,0.0,0.0,0.0,0.0,events/second
1758265350,0,0.0,0.0,0.0,0.0,events/second
1758265380,0,0.0,0.0,0.0,0.0,events/second
1758265410,0,0.0,0.0,0.0,0.0,events/second
1758265440,0,0.0,0.0,0.0,0.0,events/second
1758266130,0,0.0,0.0,0.0,0.0,events/second
1758266160,0,0.0,0.0,0.0,0.0,events/second
1758266190,0,0.0,0.0,0.0,0.0,events/second
1758266220,0,0.0,0.0,0.0,0.0,events/second
1758266400,1,0.057110265782724635,0.0,0.0,0.0,events/second
1758266430,1,0.021028501351511245,0.0,0.0,0.0,events/second
1758266460,1,0.01289188641921642,0.0,0.0,0.0,events/second
1758266490,1,0.009294596549396461,0.0,0.0,0.0,events/second
1758266520,1,0.0072672309047935825,0.0,0.0,0.0,events/second
1758266550,1,0.005965599136342555,0.0,0.0,0.0,events/second
1758266580,1,0.005059601181065537,0.0,0.0,0.0,events/second
1758266610,1,0.0043924767069826315,0.0,0.0,0.0,events/second
1758266640,1,0.003880831901754921,0.0,0.0,0.0,events/second
1758266670,1,0.0034758773570918895,0.0,0.0,0.0,events/second
1758266700,1,0.003147519361036044,0.0,0.0,0.0,events/second
1758266730,1,0.0028758809701993357,0.0,0.0,0.0,events/second
1758266760,1,0.0026473603248562726,0.0,0.0,0.0,events/second
1758266790,1,0.0024524512912940956,0.0,0.0,0.0,events/second
1758266820,1,0.002284312194730044,0.0,0.0,0.0,events/second
1758266850,1,0.002137745064977626,0.0,0.0,0.0,events/second
1758266880,1,0.0020088645543857916,0.0,0.0,0.0,events/second
1758266910,1,0.0018946081123787136,0.0,0.0,0.0,events/second
1758266940,1,0.0017926583806773112,0.0,0.0,0.0,events/second
1758266970,1,0.0017011360183098114,0.0,0.0,0.0,events/second
1758267000,1,0.0016185171103570797,0.0,0.0,0.0,events/second
1758267030,1,0.0015435468721286723,0.0,0.0,0.0,events/second
1758267060,1,0.0014752075300710314,0.0,0.0,0.0,events/second
1758267090,1,0.0014126410981156535,0.0,0.0,0.0,events/second
1758267120,1,0.0013551609271916039,0.0,0.0,0.0,events/second
1758267150,1,0.001302202240336289,0.0,0.0,0.0,events/second
1758267180,1,0.0012532225554340343,0.0,0.0,0.0,events/second
1758267210,1,0.0012077923541750726,0.0,0.0,0.0,events/second
1758267240,1,0.0011655390703803525,0.0,0.0,0.0,events/second
1758267270,1,0.0011261348454280739,0.0,0.0,0.0,events/second
1758267300,1,0.0010893108117811749,0.0,0.0,0.0,events/second
1758267330,1,0.0010548233224915412,0.0,0.0,0.0,events/second
1758267360,1,0.0010224422209831297,0.0,0.0,0.0,events/second
1758267390,1,9.91991458131383E-4,0.0,0.0,0.0,events/second
1758267420,1,9.633039881374747E-4,0.0,0.0,0.0,events/second
1758267450,1,9.362302461839425E-4,0.0,0.0,0.0,events/second
1758267480,1,9.106372055874252E-4,0.0,0.0,0.0,events/second
1758267510,1,8.86412998394814E-4,0.0,0.0,0.0,events/second
1758267540,1,8.63439497673363E-4,0.0,0.0,0.0,events/second
1758267570,1,8.416262617237053E-4,0.0,0.0,0.0,events/second
1758267600,1,8.208908163006485E-4,0.0,0.0,0.0,events/second
1758267630,1,8.011535232109254E-4,0.0,0.0,0.0,events/second
1758267660,1,7.823368310052929E-4,0.0,0.0,0.0,events/second
1758267690,1,7.643879939174177E-4,0.0,0.0,0.0,events/second
1758267720,1,7.472369063919912E-4,0.0,0.0,0.0,events/second
1758267750,1,7.308474041926491E-4,0.0,0.0,0.0,events/second
1758267780,1,7.151615062767632E-4,0.0,0.0,0.0,events/second
1758267810,1,7.001311062989183E-4,0.0,0.0,0.0,events/second
1758267840,1,6.85720559109148E-4,0.0,0.0,0.0,events/second
1758267870,1,6.7189339350473E-4,0.0,0.0,0.0,events/second
1758267900,1,6.58608589347042E-4,0.0,0.0,0.0,events/second
1758267930,1,6.458383332307217E-4,0.0,0.0,0.0,events/second
1758267960,1,6.335573945911226E-4,0.0,0.0,0.0,events/second
1758267990,1,6.217313272451929E-4,0.0,0.0,0.0,events/second
1758268020,1,6.103405244037009E-4,0.0,0.0,0.0,events/second
1758268050,1,5.99359987234898E-4,0.0,0.0,0.0,events/second
1758268080,1,5.887684687124698E-4,0.0,0.0,0.0,events/second
1758268110,1,5.785432155816726E-4,0.0,0.0,0.0,events/second
1758268140,1,5.68669565227834E-4,0.0,0.0,0.0,events/second
1758268170,1,5.591223304384725E-4,0.0,0.0,0.0,events/second
1758268200,1,5.498907643206436E-4,0.0,0.0,0.0,events/second
1758268231,1,5.409610417811124E-4,0.0,0.0,0.0,events/second
