t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.1439835684799782,0.0,0.0,0.0,events/second
1758264690,2,0.04552729403503966,0.0,0.0,0.0,events/second
1758264720,2,0.027046566380315516,0.0,0.0,0.0,events/second
1758264750,2,0.019235880518655702,0.0,0.0,0.0,events/second
1758264780,2,0.014925784852078723,0.0,0.0,0.0,events/second
1758264810,5,0.03048585250085225,0.0,0.0,0.0,events/second
1758264840,7,0.03607784781932299,0.0,0.0,0.0,events/second
1758264870,7,0.031243823891060472,0.0,0.0,0.0,events/second
1758264900,9,0.03542430616757386,0.0,0.0,0.0,events/second
1758264930,9,0.03168120148092636,0.0,0.0,0.0,events/second
1758265140,0,0.0,0.0,0.0,0.0,events/second
1758265170,0,0.0,0.0,0.0,0.0,events/second
1758265200,0,0.0,0.0,0.0,0.0,events/second
1758265230,0,0.0,0.0,0.0,0.0,events/second
1758265260,0,0.0,0.0,0.0,0.0,events/second
1758265290,0,0.0,0.0,0.0,0.0,events/second
1758265320,0,0.0,0.0,0.0,0.0,events/second
1758265350,0,0.0,0.0,0.0,0.0,events/second
1758265380,0,0.0,0.0,0.0,0.0,events/second
1758265410,0,0.0,0.0,0.0,0.0,events/second
1758265440,0,0.0,0.0,0.0,0.0,events/second
1758266130,0,0.0,0.0,0.0,0.0,events/second
1758266160,1,0.01681320699199137,0.0,0.0,0.0,events/second
1758266190,1,0.011173784183755428,0.0,0.0,0.0,events/second
1758266220,2,0.016736167759436052,0.0,0.0,0.0,events/second
1758266400,2,0.11423273640636149,0.0,0.0,0.0,events/second
1758266430,2,0.04206343076605682,0.0,0.0,0.0,events/second
1758266460,2,0.025786050022848374,0.0,0.0,0.0,events/second
1758266490,2,0.018590480080808578,0.0,0.0,0.0,events/second
1758266520,2,0.01453521461889385,0.0,0.0,0.0,events/second
1758266550,2,0.011931726754961921,0.0,0.0,0.0,events/second
1758266580,2,0.010119586948758795,0.0,0.0,0.0,events/second
1758266610,2,0.008785236382848685,0.0,0.0,0.0,events/second
1758266640,2,0.007761889701842825,0.0,0.0,0.0,events/second
1758266670,2,0.006951935763524021,0.0,0.0,0.0,events/second
1758266700,2,0.006295184725102659,0.0,0.0,0.0,events/second
1758266730,2,0.005751882594120896,0.0,0.0,0.0,events/second
1758266760,2,0.005294826141204111,0.0,0.0,0.0,events/second
1758266790,2,0.004904988884010082,0.0,0.0,0.0,events/second
1758266820,2,0.004568703227693687,0.0,0.0,0.0,events/second
1758266850,4,0.008551115889155428,0.0,0.0,0.0,events/second
1758266880,4,0.008035566544110664,0.0,0.0,0.0,events/second
1758266910,4,0.007578533314056829,0.0,0.0,0.0,events/second
1758266940,4,0.007170723737984586,0.0,0.0,0.0,events/second
1758266970,4,0.006804626217132264,0.0,0.0,0.0,events/second
1758267000,4,0.006474141368704485,0.0,0.0,0.0,events/second
1758267030,4,0.006174254000132578,0.0,0.0,0.0,events/second
1758267060,4,0.005900893099521514,0.0,0.0,0.0,events/second
1758267090,4,0.005650619253991583,0.0,0.0,0.0,events/second
1758267120,4,0.005420698856786293,0.0,0.0,0.0,events/second
1758267150,4,0.00520885542613671,0.0,0.0,0.0,events/second
1758267180,4,0.005012935522317066,0.0,0.0,0.0,events/second
1758267210,4,0.0048312113039661745,0.0,0.0,0.0,events/second
1758267240,4,0.0046621945491676425,0.0,0.0,0.0,events/second
1758267270,4,0.0045045776693971185,0.0,0.0,0.0,events/second
1758267300,4,0.004357278566264468,0.0,0.0,0.0,events/second
1758267330,4,0.004219325554012461,0.0,0.0,0.0,events/second
1758267360,4,0.004089798972095876,0.0,0.0,0.0,events/second
1758267390,4,0.003967992332302408,0.0,0.0,0.0,events/second
1758267420,4,0.0038532425924539754,0.0,0.0,0.0,events/second
1758267450,4,0.003744945114279142,0.0,0.0,0.0,events/second
1758267480,4,0.00364257282660303,0.0,0.0,0.0,events/second
1758267510,4,0.003545671105415944,0.0,0.0,0.0,events/second
1758267540,4,0.0034537799582531393,0.0,0.0,0.0,events/second
1758267570,4,0.003366524564466907,0.0,0.0,0.0,events/second
1758267600,4,0.0032835826728074323,0.0,0.0,0.0,events/second
1758267630,4,0.003204632312928797,0.0,0.0,0.0,events/second
1758267660,4,0.0031293649208263613,0.0,0.0,0.0,events/second
1758267690,4,0.003057567469687974,0.0,0.0,0.0,events/second
1758267720,4,0.0029889633533962015,0.0,0.0,0.0,events/second
1758267750,4,0.0029234041584275425,0.0,0.0,0.0,events/second
1758267780,4,0.002860660836948928,0.0,0.0,0.0,events/second
1758267810,4,0.002800538204127434,0.0,0.0,0.0,events/second
1758267840,4,0.002742894362148718,0.0,0.0,0.0,events/second
1758267870,4,0.002687586690964278,0.0,0.0,0.0,events/second
1758267900,4,0.0026344465054727135,0.0,0.0,0.0,events/second
1758267930,4,0.0025833656282992093,0.0,0.0,0.0,events/second
1758267960,4,0.002534240720174557,0.0,0.0,0.0,events/second
1758267990,4,0.0024869369254763027,0.0,0.0,0.0,events/second
1758268020,4,0.002441373316642848,0.0,0.0,0.0,events/second
1758268050,4,0.0023974494230862503,0.0,0.0,0.0,events/second
1758268080,4,0.0023550839104998704,0.0,0.0,0.0,events/second
1758268110,4,0.0023141818226070387,0.0,0.0,0.0,events/second
1758268140,4,0.002274687489970743,0.0,0.0,0.0,events/second
1758268170,4,0.0022364979986816192,0.0,0.0,0.0,events/second
1758268200,4,0.0021995705358874708,0.0,0.0,0.0,events/second
1758268231,4,0.0021638523052073286,0.0,0.0,0.0,events/second
1758268261,4,0.00212927115309425,0.0,0.0,0.0,events/second
1758268291,4,0.0020957832332072547,0.0,0.0,0.0,events/second
1758268321,4,0.002063337036547027,0.0,0.0,0.0,events/second
1758268351,4,0.0020318675554352886,0.0,0.0,0.0,events/second
1758268381,4,0.0020013401153533015,0.0,0.0,0.0,events/second
1758268411,4,0.001971730952422832,0.0,0.0,0.0,events/second
1758268441,4,0.0019429878163663896,0.0,0.0,0.0,events/second
1758268471,4,0.0019150626427013387,0.0,0.0,0.0,events/second
1758268501,4,0.0018879286865915773,0.0,0.0,0.0,events/second
1758268531,4,0.0018615491634593057,0.0,0.0,0.0,events/second
1758268561,4,0.0018359062948622535,0.0,0.0,0.0,events/second
1758268591,4,0.0018109596883078504,0.0,0.0,0.0,events/second
1758268621,4,0.0017866759192811785,0.0,0.0,0.0,events/second
1758268651,4,0.0017630395568459102,0.0,0.0,0.0,events/second
1758268681,4,0.0017400234121498622,0.0,0.0,0.0,events/second
1758268711,4,0.0017175953336683951,0.0,0.0,0.0,events/second
1758268741,4,0.0016957361887957223,0.0,0.0,0.0,events/second
1758268771,4,0.0016744304585362706,0.0,0.0,0.0,events/second
1758268801,4,0.001653649621161516,0.0,0.0,0.0,events/second
1758268831,4,0.0016333788908030021,0.0,0.0,0.0,events/second
1758268861,4,0.0016136042822133855,0.0,0.0,0.0,events/second
1758268891,4,0.0015943037502664187,0.0,0.0,0.0,events/second
1758268921,4,0.0015754511084572103,0.0,0.0,0.0,events/second
1758268951,4,0.0015570453717911115,0.0,0.0,0.0,events/second
1758268981,4,0.001539060662516969,0.0,0.0,0.0,events/second
1758269011,4,0.0015214924014728428,0.0,0.0,0.0,events/second
1758269041,4,0.0015043195946155465,0.0,0.0,0.0,events/second
1758269071,4,0.0014875254329558632,0.0,0.0,0.0,events/second
1758269101,4,0.0014711063375291585,0.0,0.0,0.0,events/second
1758269131,4,0.001455040480904568,0.0,0.0,0.0,events/second
1758269161,4,0.0014393248346035823,0.0,0.0,0.0,events/second
1758269191,4,0.0014239471116583484,0.0,0.0,0.0,events/second
1758269221,4,0.0014088948026009965,0.0,0.0,0.0,events/second
1758269251,4,0.0013941572988050623,0.0,0.0,0.0,events/second
1758269281,4,0.001379727187815262,0.0,0.0,0.0,events/second
1758269311,4,0.001365592097942277,0.0,0.0,0.0,events/second
1758269341,4,0.0013517441878948449,0.0,0.0,0.0,events/second
1758269371,4,0.0013381719853894447,0.0,0.0,0.0,events/second
1758269401,4,0.001324866204746244,0.0,0.0,0.0,events/second
1758269431,4,0.0013118226414183132,0.0,0.0,0.0,events/second
1758269461,4,0.0012990358141307958,0.0,0.0,0.0,events/second
1758269491,4,0.001286497737754467,0.0,0.0,0.0,events/second
1758269521,4,0.0012741961988811442,0.0,0.0,0.0,events/second
1758269551,4,0.0012621306687724569,0.0,0.0,0.0,events/second
1758269581,4,0.0012502907473771285,0.0,0.0,0.0,events/second
1758269611,4,0.0012386669495150259,0.0,0.0,0.0,events/second
1758269641,4,0.0012272559185023241,0.0,0.0,0.0,events/second
1758269671,4,0.001216059558120112,0.0,0.0,0.0,events/second
1758269701,4,0.0012050643489398447,0.0,0.0,0.0,events/second
1758269731,4,0.0011942658644183732,0.0,0.0,0.0,events/second
1758269761,4,0.0011836548686681887,0.0,0.0,0.0,events/second
1758269791,4,0.0011732331695933102,0.0,0.0,0.0,events/second
1758269821,4,0.0011629923631199235,0.0,0.0,0.0,events/second
1758269851,4,0.0011529300433162396,0.0,0.0,0.0,events/second
1758269881,4,0.0011430383870407554,0.0,0.0,0.0,events/second
1758269911,4,0.0011333192498659004,0.0,0.0,0.0,events/second
1758269941,4,0.0011237631490464816,0.0,0.0,0.0,events/second
1758269971,4,0.0011143675353624699,0.0,0.0,0.0,events/second
1758270001,4,0.0011051274777066629,0.0,0.0,0.0,events/second
1758270031,4,0.001096039329342126,0.0,0.0,0.0,events/second
1758270061,4,0.0010870982761934896,0.0,0.0,0.0,events/second
1758270091,4,0.0010783014347101004,0.0,0.0,0.0,events/second
1758270121,4,0.0010696464220070656,0.0,0.0,0.0,events/second
1758270151,4,0.001061130428420645,0.0,0.0,0.0,events/second
1758270181,4,0.0010527470976066896,0.0,0.0,0.0,events/second
1758270211,4,0.0010444943875888525,0.0,0.0,0.0,events/second
1758270241,4,0.0010363715077051057,0.0,0.0,0.0,events/second
1758270271,4,0.0010283727925694593,0.0,0.0,0.0,events/second
1758270301,4,0.0010204972790492913,0.0,0.0,0.0,events/second
1758270331,4,0.0010127417391472481,0.0,0.0,0.0,events/second
1758270362,6,0.0015076548868660994,0.0,0.0,0.0,events/second
1758270392,6,0.00149637084498118,0.0,0.0,0.0,events/second
1758270422,6,0.0014852566794779714,0.0,0.0,0.0,events/second
1758270452,6,0.0014743049384950693,0.0,0.0,0.0,events/second
1758270482,6,0.0014635117349016701,0.0,0.0,0.0,events/second
1758270512,6,0.0014528747582874815,0.0,0.0,0.0,events/second
1758270542,6,0.0014423926075901275,0.0,0.0,0.0,events/second
1758270572,6,0.00143205967509083,0.0,0.0,0.0,events/second
1758270602,6,0.0014218735016919108,0.0,0.0,0.0,events/second
1758270632,6,0.0014118296976852413,0.0,0.0,0.0,events/second
1758270662,6,0.0014019302170993923,0.0,0.0,0.0,events/second
1758270692,6,0.0013921655657857855,0.0,0.0,0.0,events/second
1758270722,6,0.001382539864574171,0.0,0.0,0.0,events/second
1758270752,6,0.0013730438856282053,0.0,0.0,0.0,events/second
1758270782,6,0.0013636804664573221,0.0,0.0,0.0,events/second
1758270812,6,0.0013544412358547995,0.0,0.0,0.0,events/second
1758270842,6,0.001345327731576706,0.0,0.0,0.0,events/second
1758270872,6,0.0013363342726897623,0.0,0.0,0.0,events/second
1758270902,6,0.0013274615960548212,0.0,0.0,0.0,events/second
1758270932,6,0.0013187050861812987,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,2,0.04346776690017921,0.0,0.0,0.0,events/second
1758496890,2,0.026305666914604592,0.0,0.0,0.0,events/second
1758496920,2,0.018859092992969253,0.0,0.0,0.0,events/second
1758496950,2,0.014699354650557939,0.0,0.0,0.0,events/second
1758496980,2,0.012042803420676661,0.0,0.0,0.0,events/second
1758497010,2,0.010199313578444691,0.0,0.0,0.0,events/second
1758497040,2,0.008845426488774927,0.0,0.0,0.0,events/second
1758497070,2,0.007808842539476231,0.0,0.0,0.0,events/second
